Name,ID
Abandoned Merchant's Bell Bearing,400022E9
About Adding Affinities,400023B0
About Adding Skills,4000239C
About Birdseye Telescopes,4000239D
About Bows,4000238E
About Competitive Multiplayer,400023A3
About Containers,400023AF
About Cooperative Multiplayer,400023A2
About Crouching,4000238F
About Death,40002396
About Dodging,400023B2
About Fast Travel to Sites of Grace,400023AA
About Flask of Wondrous Physick,4000239B
About Guard Counters,40002392
About Guarding,40002398
About Guidance of Grace,40002394
About Horseback Riding,40002395
About Hunter Multiplayer,400023A5
About Invasion Multiplayer,400023A4
About Item Crafting,40002399
About Materials,400023AE
About Monument Icon,400023A7
About Multiplayer,400023EB
About Pouches,400023B1
About Requesting Help from Hunters,400023A8
About Roundtable Hold,400023AC
About Sites of Grace,4000238C
About Skills,400023A9
About Sorceries and Incantations,4000238D
About Spiritspring Jumping,4000239E
About Stakes of Marika,40002391
About Stance-Breaking,40002390
About Strengthening Armaments,400023AB
About Summoning Other Players,400023A1
About Summoning Pools,400023A6
About Summoning Spirits,40002397
About Teardrop Scarabs,400023A0
About the Map,40002393
About Vanquishing Enemy Groups,4000239F
About Wielding Armaments,400023B4
Academy Glintstone Key,40001FAD
Academy Glintstone Key,40001FEE
Academy Glintstone Staff,01FA9780
Academy Magic Pot,40000295
Academy Scroll,400022A2
Acid Spraymist,40000E1A
Adula's Moonblade,4000114F
Aeonian Butterfly,40005141
Agheel's Flame,40001B59
Alabaster Lord's Sword,002ED830
Alberich's Bracers,1001D588
Alberich's Pointed Hat (Altered),1001D8A8
Alberich's Pointed Hat,1001D4C0
Alberich's Robe (Altered),1001D90C
Alberich's Robe,1001D524
Alberich's Trousers,1001D5EC
Albinauric Ashes +1,40033839
Albinauric Ashes +10,40033842
Albinauric Ashes +2,4003383A
Albinauric Ashes +3,4003383B
Albinauric Ashes +4,4003383C
Albinauric Ashes +5,4003383D
Albinauric Ashes +6,4003383E
Albinauric Ashes +7,4003383F
Albinauric Ashes +8,40033840
Albinauric Ashes +9,40033841
Albinauric Ashes,40033838
Albinauric Bloodclot,40003C3C
Albinauric Bow,0271C350
Albinauric Mask,10102CA0
Albinauric Pot,40000262
Albinauric Shield,01D9A200
Albinauric Staff,01FA7070
Alexander's Innards,4000201E
All-Knowing Armor (Altered),100904FC
All-Knowing Armor,10090114
All-Knowing Gauntlets,10090178
All-Knowing Greaves,100901DC
All-Knowing Helm,100900B0
Alluring Pot,40000186
Altus Bloom,400050C9
Amber Draught,40001FE6
Amber Starlight,40001FCE
Ambush Shard,400011F8
Ancestral Follower Ashes +1,40033069
Ancestral Follower Ashes +10,40033072
Ancestral Follower Ashes +2,4003306A
Ancestral Follower Ashes +3,4003306B
Ancestral Follower Ashes +4,4003306C
Ancestral Follower Ashes +5,4003306D
Ancestral Follower Ashes +6,4003306E
Ancestral Follower Ashes +7,4003306F
Ancestral Follower Ashes +8,40033070
Ancestral Follower Ashes +9,40033071
Ancestral Follower Ashes,40033068
Ancestral Infant's Head,40000BB8
Ancestral Spirit's Horn,200017DE
Ancient Death Rancor,40001389
Ancient Dragon Knight Kristoff +1,4003E801
Ancient Dragon Knight Kristoff +10,4003E80A
Ancient Dragon Knight Kristoff +2,4003E802
Ancient Dragon Knight Kristoff +3,4003E803
Ancient Dragon Knight Kristoff +4,4003E804
Ancient Dragon Knight Kristoff +5,4003E805
Ancient Dragon Knight Kristoff +6,4003E806
Ancient Dragon Knight Kristoff +7,4003E807
Ancient Dragon Knight Kristoff +8,4003E808
Ancient Dragon Knight Kristoff +9,4003E809
Ancient Dragon Knight Kristoff,4003E800
Ancient Dragon Prayerbook,400022A1
Ancient Dragon Smithing Stone,4000279C
Ancient Dragonbolt Pot,40000141
Ancient Dragons' Lightning Spear,40001B1C
Ancient Dragons' Lightning Strike,40001AFE
Ant's Skull Plate,01EBA360
Antspur Rapier,004CE780
Arbalest,02915940
Archer Ashes +1,4003CCA9
Archer Ashes +10,4003CCB2
Archer Ashes +2,4003CCAA
Archer Ashes +3,4003CCAB
Archer Ashes +4,4003CCAC
Archer Ashes +5,4003CCAD
Archer Ashes +6,4003CCAE
Archer Ashes +7,4003CCAF
Archer Ashes +8,4003CCB0
Archer Ashes +9,4003CCB1
Archer Ashes,4003CCA8
Aristocrat Boots,1005A67C
Aristocrat Coat,1005CCC4
Aristocrat Garb (Altered),1005A99C
Aristocrat Garb,1005A5B4
Aristocrat Hat,1005CC60
Aristocrat Headband,1005A550
Arrow,02FAF080
Arrow's Reach Talisman,20000834
Arrow's Sting Talisman,20000866
Arsenal Charm +1,20000407
Arsenal Charm,20000406
Arteria Leaf,400050D3
Ash of War: Assassin's Gambit,8000EB28
Ash of War: Barbaric Roar,8000FDE8
Ash of War: Barrage,80009CA4
Ash of War: Barricade Shield,80007594
Ash of War: Beast's Roar,8000FEB0
Ash of War: Black Flame Tornado,80005654
Ash of War: Blood Blade,80005780
Ash of War: Blood Tax,80002A30
Ash of War: Bloodhound's Step,800138E4
Ash of War: Bloody Slash,80004FB0
Ash of War: Braggart's Roar,8000FF78
Ash of War: Carian Grandeur,80005528
Ash of War: Carian Greatsword,8000558C
Ash of War: Carian Retaliation,80007724
Ash of War: Charge Forth,80002904
Ash of War: Chilling Mist,800058AC
Ash of War: Cragblade,8000ED1C
